clues,nombre,domicilio,codigoPostal,numeroLongitud,numeroLatitud,entidad,estado,institucion,jurisdiccion,localidad,municipio,tipologia
CSIMO000066,ADOLFO LÓPEZ MATEOS,DOMICILIO CONOCIDO,29379,-92.893611,16.610833,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Adolfo López Mateos,ACALA,UNIDAD MEDICA
CSIMO000071,UNIÓN BUENAVISTA,DOMICILIO CONOCIDO,29370,-92.818889,16.485278,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Unión Buenavista,ACALA,UNIDAD MEDICA
CSIMO000083,20 DE NOVIEMBRE,DOMICILIO CONOCIDO,29380,-92.896944,16.538333,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,20 de Noviembre,ACALA,UNIDAD MEDICA
CSIMO000095,NUEVO VICENTE GUERRERO (EL CHICHONAL),DOMICILIO CONOCIDO,30620,-92.871389,16.485278,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Nuevo Vicente Guerrero (El Chichonal),ACALA,UNIDAD MEDICA
CSIST000280,VILLA DE ACALA,AV JUÁREZ,99999,-92.8083,16.5553,CHIAPAS,EN OPERACIÓN,ISSSTE,TUXTLA GUTIÉRREZ,Acala,ACALA,UNIDAD MEDICA
CSSSA000050,VILLA DE ACALA,AVENIDA MARIANO NANGO,29370,-92.805556,16.556111,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Acala,ACALA,CENTRO DE SALUD
CSSSA000045,H. B. C. DR. MANUEL VELASCO SUAREZ ACALA,Av. Morelos 120 Col. Santa Isabel,29370,-92.814961,16.556415,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Acala,ACALA,HOSPITAL
CSSSA000062,CRUZ CHIQUITA,ANTES DE LA ESCUELA GERARDO RAMOS,29370,-92.945556,16.585278,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Cruz Chiquita,ACALA,CASA DE SALUD
CSSSA000074,LUIS ECHEVERRÍA ÁLVAREZ,NO DISPONIBLE,29370,-92.793056,16.418333,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Luis Echeverría Álvarez,ACALA,CASA DE SALUD
CSSMP001100,FARMACIAS SIMILARES,SIN DOMICILIO,29370,,,CHIAPAS,EN OPERACIÓN,SMP,TUXTLA GUTIÉRREZ,Acala,ACALA,NO ESPECIFICADO
CSSMP001115,FARMACIAS SIMILARES,SIN DOMICILIO,29372,,,CHIAPAS,EN OPERACIÓN,SMP,TUXTLA GUTIÉRREZ,Acala,ACALA,NO ESPECIFICADO
CSIMO000416,BERRIOZÁBAL,DOMICILIO CONOCIDO,30917,-93.270192,16.796236,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Berriozábal,BERRIOZÁBAL,UNIDAD MEDICA
CSIMO000421,LAS MARAVILLAS,DOMICILIO CONOCIDO,29136,-93.320278,16.9575,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Las Maravillas,BERRIOZÁBAL,UNIDAD MEDICA
CSIST000362,BERRIOZABAL,AVENIDA CENTRAL ORIENTE,99999,-93.2736,16.7996,CHIAPAS,EN OPERACIÓN,ISSSTE,TUXTLA GUTIÉRREZ,Berriozábal,BERRIOZÁBAL,UNIDAD MEDICA
CSSSA019930,CENTRO DE SALUD MICROREGIONAL LAS MARAVILLAS,LAS MARAVILLAS,29130,-93.318028,16.957957,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Las Maravillas,BERRIOZÁBAL,CENTRO DE SALUD
CSSSA000651,BERRIOZÁBAL,NO DISPONIBLE,29130,-93.2657,16.7977,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Berriozábal,BERRIOZÁBAL,CENTRO DE SALUD
CSSSA000704,TIERRA Y LIBERTAD,NO DISPONIBLE,29130,-93.323333,16.8375,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Tierra y Libertad,BERRIOZÁBAL,CARAVANA
CSSSA000663,EFRAÍN A. GUTIÉRREZ,NO DISPONIBLE,29130,-93.296944,16.881944,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Efraín A. Gutiérrez,BERRIOZÁBAL,CASA DE SALUD
CSSSA000675,IGNACIO ZARAGOZA,NO DISPONIBLE,29130,-93.345278,16.975556,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Ignacio Zaragoza,BERRIOZÁBAL,CASA DE SALUD
CSSSA000680,SAN MARTÍN,NO DISPONIBLE,29130,-93.3209,16.8709,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,San Martín,BERRIOZÁBAL,CASA DE SALUD
CSSSA000692,CONGREGACIÓN AMENDU,NO DISPONIBLE,29130,-93.315,16.833889,CHIAPAS,EN OPERACIÓN,SSA,TUXTLA GUTIÉRREZ,Amendu,BERRIOZÁBAL,CASA DE SALUD
CSIMO000643,ABELARDO L. RODRÍGUEZ,DOMICILIO CONOCIDO,30410,-93.800278,16.667778,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Abelardo L. Rodríguez,CINTALAPA,UNIDAD MEDICA
CSIMO000655,ROSENDO SALAZAR,DOMICILIO CONOCIDO,30425,-94.001389,16.468056,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Rosendo Salazar,CINTALAPA,UNIDAD MEDICA
CSIMO000660,CONSTITUCIÓN (EL CHAYOTAL),DOMICILIO CONOCIDO,30409,-93.936944,16.945556,CHIAPAS,EN OPERACIÓN,IMSS-PROSPERA,TUXTLA GUTIÉRREZ,Constitución (El Chayotal),CINTALAPA,UNIDAD MEDICA
