"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"10993","0001","Ocosingo","165426","920546","888","E15D53","7","59",,,
"10994","0002","Abasolo","164917","921255","1261","E15D53","7","59",,,
"10995","0003","Perla de Acapulco","164736.996","912835.004","699","E15D55","7","59",,,
"10996","0005","Agua Azul","164847.016","913123.988","620","E15D55","7","59",,,
"10997","0006","Loma Bonita","160557","910003","164","E15D86","7","59",,,
"10998","0008","Aurora Buenavista","165704.268","921852.797","1317","E15D53","7","59",,,
"10999","0009","Amador Hernández","163207.008","911953.004","341","E15D66","7","59",,,
"11000","0011","La Arena","170652.992","913119.992","380","E15D45","7","59",,,
"11001","0012","Arroyo Granizo","170212.984","912527.012","460","E15D45","7","59",,,
"11002","0014","Arroyo Santa María","165209.984","914139.984","1277","E15D54","7","59",,,
"11003","0016","La Aurora","165300.93","921208.77","1528","E15D53","7","59",,,
"11004","0017","El Avellanal","164344.004","913433.996","518","E15D65","7","59",,,
"11005","0018","La Azuleta","165627.996","915712.996","1060","E15D54","7","59",,,
"11006","0022","Betania","162536.659","912319.125","222","E15D75","7","59",,,
"11007","0025","Buenavista","165447.016","913718.012","660","E15D55","7","59",,,
"11008","0027","Busiljá","170336","912142.012","120","E15D45","7","59",,,
"11009","0029","Campo Alegre","165633","915634.008","1118","E15D54","7","59",,,
"11010","0030","Campo Virgen","164806.012","921039","1222","E15D53","7","59",,,
"11011","0031","Santa María de las Flores","165026.056","920228.291","1045","E15D53","7","59",,,
"11012","0052","Chamizal","165026.016","920513.992","1013","E15D53","7","59",,,
"11013","0053","Cucja","165109","920920.988","1366","E15D53","7","59",,,
"11014","0054","La Culebra","165601.025","912813.465","840","E15D55","7","59",,,
"11015","0057","Chacantel","165624","915804.008","900","E15D54","7","59",,,
"11016","0058","La Champa","165903.984","914658.008","738","E15D54","7","59",,,
"11017","0059","Santa Clara","165457.996","913921.996","660","E15D55","7","59",,,
"11018","0068","Damasco","170945","913602.016","360","E15D45","7","59",,,
"11019","0070","El Diamante","170754.012","914327.012","756","E15D44","7","59",,,
"11020","0072","Nuevo Vicente Guerrero","165334.008","914712.984","633","E15D54","7","59",,,
"11021","0073","Dolores","165412.522","914751.065","609","E15D54","7","59",,,
"11022","0074","Emiliano Zapata","165649.992","915208.004","708","E15D54","7","59",,,
"11023","0082","Nueva Flor de Cacao","165827.012","910714.988","87","E15D56","7","59",,,
"11024","0085","La Frontera Uno","165554.012","921704.992","1125","E15D53","7","59",,,
"11025","0088","La Gloria","165843.91","921015.03","1104","E15D53","7","59",,,
"11026","0091","Guadalupe Chactajal","164941.988","915822.008","880","E15D54","7","59",,,
"11027","0101","Lacandón","170115.996","913545.996","852","E15D45","7","59",,,
"11028","0102","Lacanjá Tzeltal","165618.996","911748.984","420","E15D56","7","59",,,
"11029","0104","Laguna Ocotal","165724.258","913658.532","1080","E15D55","7","59",,,
"11030","0106","El Limonar","165808.004","912240.008","482","E15D55","7","59",,,
"11031","0112","Las Maravillas","170246.405","912104.315","132","E15D45","7","59",,,
"11032","0117","Ach'Lum Monte Líbano","165357.012","913740.008","666","E15D55","7","59",,,
"11033","0121","Nazareth","165841.016","915447.016","730","E15D54","7","59",,,
"11034","0126","El Ocotal","165900.996","921108.988","1209","E15D53","7","59",,,
"11035","0129","Los Potrillos (La Palma)","170203.012","912002.004","139","E15D45","7","59",,,
"11036","0132","La Palmita","165634.008","914752.008","657","E15D54","7","59",,,
"11037","0138","Peña Limonar","170715.996","914227","661","E15D44","7","59",,,
"11038","0142","Plan de Ayutla","164841.004","911828.008","620","E15D56","7","59",,,
"11039","0156","El Prado Pacayal","164045.984","914004.008","797","E15D64","7","59",,,
"11040","0161","San Antonio la Sombra","170513.255","912638.824","420","E15D45","7","59",,,
"11041","0162","San Antonio Jacap","165509.012","920324.984","936","E15D53","7","59",,,
"11042","0171","San Francisco","165454","913955.008","683","E15D55","7","59",,,
"11043","0190","San Juanito","165446.202","920109.106","948","E15D53","7","59",,,
"11044","0191","Nuevo San Pedro","165320.004","915434.992","939","E15D54","7","59",,,
"11045","0196","San Marcos","165729.053","921242.041","940","E15D53","7","59",,,
"11046","0200","San Miguel","164748.012","915102.988","860","E15D54","7","59",,,
"11047","0204","San Quintín","162420.988","912044.988","200","E15D75","7","59",,,
"11048","0207","Santa Cruz","164811.016","914008.004","520","E15D54","7","59",,,
"11049","0208","Santa Elena","165335.016","913524","680","E15D55","7","59",,,
"11050","0210","Santa Isabel la Rivera","165854.984","914108.016","660","E15D54","7","59",,,
"11051","0212","Santa Lucía","165433.012","913723.016","652","E15D55","7","59",,,
"11052","0216","Santa Rita","165503","912733.984","880","E15D55","7","59",,,
"11053","0217","Santa Rita","164918.984","915120.988","806","E15D54","7","59",,,
"11054","0219","Santa Rosa","165323.815","920420.023","860","E15D53","7","59",,,
"11055","0229","El Sibal","165848","912927.996","686","E15D55","7","59",,,
"11056","0230","La Siria","171135.988","914135.016","360","E15D44","7","59",,,
"11057","0231","Miramar","165456.988","920319.008","911","E15D53","7","59",,,
"11058","0232","Suschila","165121.996","920047.988","887","E15D53","7","59",,,
"11059","0235","Amatitlán","165522.12","920404.53","882","E15D53","7","59",,,
"11060","0236","San Antonio las Delicias (Pamala)","165306","915230","1117","E15D54","7","59",,,
"11061","0237","Tenango","165417","921541","1310","E15D53","7","59",,,
"11062","0246","El Tumbo","170439","913735.004","629","E15D45","7","59",,,
"11063","0250","Tzajalob","165702.072","920500.052","1174","E15D53","7","59",,,
"11064","0258","La Unión","164825.992","913759.016","574","E15D55","7","59",,,
"11065","0261","Venustiano Carranza","165949.488","914921.601","947","E15D54","7","59",,,
"11066","0266","Yaxoquintelá","165437.008","914346.992","590","E15D54","7","59",,,
"11067","0268","El Zapotal","164456.004","912630.012","619","E15D65","7","59",,,
"11068","0269","Zaragoza","170027.848","913823.588","1291","E15D45","7","59",,,
"11069","0274","Ubilio García","170457","912818.984","360","E15D45","7","59",,,
"11070","0275","Ojo de Agua","165132.004","910918","397","E15D56","7","59",,,
"11071","0284","Nuevo Canán","171014.988","912837.992","140","E15D45","7","59",,,
"11072","0285","Plácido Flores","165357.012","913808.988","647","E15D55","7","59",,,
"11073","0295","Santa Isabel","164542.984","913927","600","E15D55","7","59",,,
"11074","0302","El Campo","165808.004","914041.988","647","E15D54","7","59",,,
"11075","0306","Amaytic","170400.698","914440.325","1032","E15D44","7","59",,,
"11076","0307","Cuauhtémoc","170726.086","914154.555","648","E15D44","7","59",,,
"11077","0310","Taquintón","170502.004","914006.996","759","E15D44","7","59",,,
"11078","0314","San Jacinto","165321.984","910345","120","E15D56","7","59",,,
"11079","0326","Tierra Blanca","164250.468","914332.907","909","E15D64","7","59",,,
"11080","0328","San Alejandro","164216.992","914202.016","827","E15D64","7","59",,,
